date,value,unit,change_1d_pct,change_1m_pct,change_1y_pct,collected_at_utc,source_date_label
2026-09-09,8383.0,CNY/T,0.0,8.96,16.35,2026-09-09T02:43:35Z,"September 9, 2026"
2026-09-11,8622.0,CNY/T,0.0,11.05,20.47,2026-09-11T01:25:38Z,"September 11, 2026"
2026-09-14,8619.0,CNY/T,-0.03,7.09,20.21,2026-09-14T08:47:35Z,"September 14, 2026"
2026-09-15,8634.0,CNY/T,0.0,7.28,19.77,2026-09-15T01:49:30Z,"September 15, 2026"
2026-09-16,8648.0,CNY/T,0.16,7.46,20.19,2026-09-16T09:08:44Z,"September 16, 2026"
2026-09-17,8610.0,CNY/T,0.0,5.17,20.27,2026-09-17T09:09:51Z,"September 17, 2026"
2026-09-18,8507.0,CNY/T,0.0,8.6,19.35,2026-09-18T09:08:27Z,"September 18, 2026"
2026-09-21,8370.0,CNY/T,-1.61,7.06,17.77,2026-09-21T09:08:05Z,"September 21, 2026"
2026-09-22,8211.0,CNY/T,-1.36,5.03,16.09,2026-09-22T09:08:54Z,"September 22, 2026"
2026-09-24,8095.0,CNY/T,0.0,2.79,13.65,2026-09-24T09:19:08Z,"September 24, 2026"
