date,value,unit,category,collected_at_utc
2026-09-06,8639.0,CNY/T(추정),화학공업,2026-09-11T02:36:57Z
2026-09-07,8201.75,CNY/T(추정),화학공업,2026-09-11T02:36:57Z
2026-09-08,8126.75,CNY/T(추정),화학공업,2026-09-11T02:36:57Z
2026-09-09,8264.25,CNY/T(추정),화학공업,2026-09-11T02:36:57Z
2026-09-10,8289.25,CNY/T(추정),화학공업,2026-09-11T02:36:57Z
2026-09-11,8289.25,CNY/T(추정),화학공업,2026-09-11T02:36:57Z
2026-09-12,8352.33,CNY/T(추정),화학공업,2026-09-13T00:09:47Z
2026-09-13,8352.33,CNY/T(추정),화학공업,2026-09-14T00:10:12Z
2026-09-14,7869.0,CNY/T(추정),화학공업,2026-09-14T08:47:43Z
2026-09-15,7869.0,CNY/T(추정),화학공업,2026-09-15T01:49:37Z
2026-09-16,7704.0,CNY/T(추정),화학공업,2026-09-16T09:08:53Z
