date,value,unit,category,collected_at_utc
2026-09-05,1800.0,CNY/T(추정),화학공업,2026-09-11T02:36:56Z
2026-09-06,1800.0,CNY/T(추정),화학공업,2026-09-11T02:36:56Z
2026-09-07,1820.0,CNY/T(추정),화학공업,2026-09-11T02:36:56Z
2026-09-08,1820.0,CNY/T(추정),화학공업,2026-09-11T02:36:56Z
2026-09-09,1820.0,CNY/T(추정),화학공업,2026-09-11T02:36:56Z
2026-09-10,1850.0,CNY/T(추정),화학공업,2026-09-11T02:36:56Z
2026-09-11,1850.0,CNY/T(추정),화학공업,2026-09-12T00:09:39Z
2026-09-12,1850.0,CNY/T(추정),화학공업,2026-09-13T00:09:45Z
2026-09-13,1850.0,CNY/T(추정),화학공업,2026-09-14T00:10:10Z
2026-09-14,1840.0,CNY/T(추정),화학공업,2026-09-14T08:47:41Z
2026-09-15,1840.0,CNY/T(추정),화학공업,2026-09-15T09:10:07Z
2026-09-16,1840.0,CNY/T(추정),화학공업,2026-09-16T09:08:50Z
2026-09-17,1840.0,CNY/T(추정),화학공업,2026-09-17T09:10:01Z
